Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Houston,United States,MA-17560,Matt Abelman,10/19/2021,CA-2021-107727,77095,OFF-PA-10000249,Easy-staple paper,Central,35,Home Office,10/23/2021,Second Class,Texas,Paper,0.2,9.9468,3,29.472
Technology,Richardson,United States,GH-14485,Gene Hale,12/8/2020,CA-2020-117590,75080,TEC-PH-10004977,GE 30524EE4,Central,36,Corporate,12/10/2020,First Class,Texas,Phones,0.2,123.4737,7,1097.544
Furniture,Richardson,United States,GH-14485,Gene Hale,12/8/2020,CA-2020-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,37,Corporate,12/10/2020,First Class,Texas,Furnishings,0.6,-147.963,5,190.92
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,38,Home Office,12/31/2019,Standard Class,Texas,Envelopes,0.2,35.415,9,113.328
Furniture,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,39,Home Office,12/31/2019,Standard Class,Texas,Bookcases,0.32,-46.9764,3,532.3992
Furniture,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,40,Home Office,12/31/2019,Standard Class,Texas,Chairs,0.3,-15.147,3,212.058
Technology,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,41,Home Office,12/31/2019,Standard Class,Texas,Phones,0.2,41.7564,4,371.168
Technology,Naperville,United States,LC-16930,Linda Cazamias,9/10/2021,CA-2021-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,42,Corporate,9/15/2021,Standard Class,Illinois,Phones,0.2,16.5564,4,147.168
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,7/17/2020,CA-2020-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,43,Corporate,7/22/2020,Standard Class,California,Storage,0,3.894000000,2,77.88
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,9/19/2021,CA-2021-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,44,Corporate,9/23/2021,Standard Class,Florida,Storage,0.2,9.561600000,2,95.616
Technology,Eagan,United States,ON-18715,Odella Nelson,3/11/2020,CA-2020-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45,Corporate,3/13/2020,First Class,Minnesota,Accessories,0,19.7714,2,45.98
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,3/11/2020,CA-2020-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,46,Corporate,3/13/2020,First Class,Minnesota,Binders,0,8.2062,2,17.46
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,10/20/2018,CA-2018-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,47,Consumer,10/25/2018,Second Class,Michigan,Storage,0,8.478400000,4,211.96
Technology,Dover,United States,LH-16900,Lena Hernandez,6/20/2020,CA-2020-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,48,Consumer,6/25/2020,Standard Class,Delaware,Accessories,0,4.95,3,45
Technology,Dover,United States,LH-16900,Lena Hernandez,6/20/2020,CA-2020-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,49,Consumer,6/25/2020,Standard Class,Delaware,Phones,0,6.104,2,21.8
Office Supplies,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,50,Consumer,4/22/2019,Standard Class,Indiana,Binders,0,17.9634,6,38.22
Office Supplies,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-LA-10002762,Avery 485,Central,51,Consumer,4/22/2019,Standard Class,Indiana,Labels,0,35.3346,6,75.18
Furniture,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,52,Consumer,4/22/2019,Standard Class,Indiana,Furnishings,0,2.9568,2,6.16
Furniture,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,53,Consumer,4/22/2019,Standard Class,Indiana,Chairs,0,17.0981,1,89.99
Office Supplies,New York City,United States,JM-15265,Janet Molinari,12/11/2020,CA-2020-105816,10024,OFF-FA-10000304,Advantus Push Pins,East,54,Corporate,12/17/2020,Standard Class,New York,Fasteners,0,6.2566,7,15.26
Technology,New York City,United States,JM-15265,Janet Molinari,12/11/2020,CA-2020-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,55,Corporate,12/17/2020,Standard Class,New York,Phones,0,298.6855,5,1029.95
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,56,Consumer,6/18/2020,First Class,New York,Storage,0,52.14,6,208.56
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-PA-10001569,Xerox 232,East,57,Consumer,6/18/2020,First Class,New York,Paper,0,15.552,5,32.4
Furniture,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,58,Consumer,6/18/2020,First Class,New York,Chairs,0.1,7.098000000,5,319.41
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,59,Consumer,6/18/2020,First Class,New York,Paper,0,6.9888,2,14.56
Technology,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,60,Consumer,6/18/2020,First Class,New York,Accessories,0,3.3,2,30
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-BI-10001460,Plastic Binding Combs,East,61,Consumer,6/18/2020,First Class,New York,Binders,0.2,16.362,4,48.48
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,6/17/2020,CA-2020-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,62,Consumer,6/18/2020,First Class,New York,Art,0,0.84,1,1.68
Technology,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,63,Consumer,11/30/2019,Standard Class,California,Accessories,0,6.1512,2,13.98
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,64,Consumer,11/30/2019,Standard Class,California,Binders,0.2,9.3612,6,25.824
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-PA-10003892,Xerox 1943,West,65,Consumer,11/30/2019,Standard Class,California,Paper,0,68.9631,3,146.73
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,66,Consumer,11/30/2019,Standard Class,California,Furnishings,0,22.3328,4,79.76
Furniture,Chicago,United States,PS-18970,Paul Stevenson,4/30/2019,US-2019-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,67,Home Office,5/5/2019,Standard Class,Illinois,Chairs,0.3,-15.2225,5,213.115
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,68,Corporate,12/10/2018,Standard Class,Arizona,Art,0.2,111.3024,8,1113.024
Technology,Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,69,Corporate,12/10/2018,Standard Class,Arizona,Phones,0.2,62.988,4,167.968
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,6/4/2020,CA-2020-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,70,Consumer,6/6/2020,First Class,Virginia,Paper,0,35.6636,2,75.88
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,9/18/2020,CA-2020-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,71,Consumer,9/23/2020,Standard Class,New York,Binders,0.2,1.731,1,4.616
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,9/14/2021,CA-2021-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,72,Consumer,9/17/2021,Second Class,Michigan,Paper,0,8.763,3,19.05
Furniture,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,73,Consumer,5/2/2019,Standard Class,Tennessee,Chairs,0.2,-114.3912,8,831.936
Furniture,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,74,Consumer,5/2/2019,Standard Class,Tennessee,Furnishings,0.2,1.213,2,97.04
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,75,Consumer,5/2/2019,Standard Class,Tennessee,Storage,0.2,-18.196,1,72.784
Office Supplies,Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,OFF-BI-10004182,Economy Binders,Central,76,Corporate,12/11/2021,First Class,Texas,Binders,0.8,-1.9344,3,1.248
Furniture,Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,77,Corporate,12/11/2021,First Class,Texas,Furnishings,0.6,-5.8248,3,9.708
Office Supplies,Houston,United States,KB-16600,Ken Brennan,12/9/2021,US-2021-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,78,Corporate,12/11/2021,First Class,Texas,Storage,0.2,2.724,3,27.24
Furniture,Houston,United States,JE-15745,Joel Eaton,11/26/2018,US-2018-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,79,Consumer,12/1/2018,Second Class,Texas,Furnishings,0.6,-14.475,5,19.3
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,6/12/2020,CA-2020-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,80,Corporate,6/15/2020,First Class,Alabama,Appliances,0,56.2032,1,208.16
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,6/12/2020,CA-2020-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,81,Corporate,6/15/2020,First Class,Alabama,Binders,0,8.0352,3,16.74
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,82,Consumer,10/16/2018,Standard Class,California,Art,0,4.172,5,14.9
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,83,Consumer,10/16/2018,Standard Class,California,Storage,0,6.2031,1,21.39
Office Supplies,Durham,United States,JC-16105,Julie Creighton,9/3/2019,CA-2019-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,84,Corporate,9/8/2019,Standard Class,North Carolina,Envelopes,0.2,62.8075,7,200.984
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,11/13/2021,US-2021-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,85,Home Office,11/16/2021,First Class,Illinois,Storage,0.2,-48.9549,3,230.376
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,5/28/2021,CA-2021-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,86,Consumer,5/30/2021,Second Class,South Carolina,Chairs,0,33.2156,2,301.96
Technology,Rochester,United States,PG-18895,Paul Gonzalez,10/26/2021,CA-2021-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,87,Consumer,11/2/2021,Standard Class,Minnesota,Accessories,0,6.7966,1,19.99
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,10/26/2021,CA-2021-155558,55901,OFF-LA-10000134,Avery 511,Central,88,Consumer,11/2/2021,Standard Class,Minnesota,Labels,0,2.9568,2,6.16
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,4/5/2020,CA-2020-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,89,Home Office,4/10/2020,Second Class,Texas,Storage,0.2,13.8572,7,158.368
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,90,Corporate,9/22/2020,Standard Class,California,Art,0,6.633,3,20.1
Technology,Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,91,Corporate,9/22/2020,Standard Class,California,Phones,0.2,8.2782,2,73.584
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,9/17/2020,CA-2020-109806,90036,OFF-PA-10000304,Xerox 1995,West,92,Corporate,9/22/2020,Standard Class,California,Paper,0,3.1104,1,6.48
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-PA-10003177,Xerox 1999,Central,93,Consumer,2/5/2019,Second Class,Minnesota,Paper,0,6.2208,2,12.96
Furniture,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,94,Consumer,2/5/2019,Second Class,Minnesota,Furnishings,0,16.5354,3,53.34
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,95,Consumer,2/5/2019,Second Class,Minnesota,Binders,0,16.1504,2,32.96
Office Supplies,Portland,United States,RB-19705,Roger Barcio,11/6/2021,US-2021-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,96,Home Office,11/12/2021,Standard Class,Oregon,Binders,0.7,-3.788,1,5.682
Furniture,New York City,United States,PN-18775,Parhena Norris,11/9/2021,CA-2021-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,East,97,Home Office,11/11/2021,Second Class,New York,Furnishings,0,40.5426,7,96.53
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,6/17/2021,CA-2021-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,West,98,Consumer,6/20/2021,First Class,California,Binders,0.2,17.9592,3,51.312
Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,9/6/2020,CA-2020-149223,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Central,99,Corporate,9/11/2020,Standard Class,Minnesota,Appliances,0,22.5852,6,77.88
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Central,100,Home Office,9/2/2020,Standard Class,Illinois,Paper,0.2,22.6184,7,64.624
Technology,Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,101,Home Office,9/2/2020,Standard Class,Illinois,Accessories,0.2,-10.7973,3,95.976
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,8/29/2020,CA-2020-158568,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Central,102,Home Office,9/2/2020,Standard Class,Illinois,Binders,0.8,-3.0396,3,1.788
Office Supplies,Rochester,United States,GZ-14470,Gary Zandusky,12/1/2020,CA-2020-129903,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,103,Consumer,12/4/2020,Second Class,Minnesota,Paper,0,11.7208,4,23.92
Technology,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,104,Consumer,11/17/2019,Standard Class,Colorado,Accessories,0.2,-26.8758,6,238.896
Furniture,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,105,Consumer,11/17/2019,Standard Class,Colorado,Furnishings,0.2,-3.838500000,3,102.36
Office Supplies,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,106,Consumer,11/17/2019,Standard Class,Colorado,Binders,0.7,-25.8174,3,36.882
Technology,Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,107,Consumer,11/28/2021,Standard Class,North Carolina,Accessories,0.2,17.6016,8,74.112
Technology,Charlotte,United States,JM-15250,Janet Martin,11/23/2021,CA-2021-119004,28205,TEC-PH-10002844,Speck Products Candyshell Flip Case,South,108,Consumer,11/28/2021,Standard Class,North Carolina,Phones,0.2,2.0994,1,27.992
